제목,토마토미터(%),Certified Fresh,Popcornmeter(%),Verified Hot,장르(Genre),관람등급(Rating),상영 시간(Runtime),개봉일(Release Date),스트리밍 날짜,감독(Director),주요 출연진(Cast),배급사(Studio),시놉시스(Synopsis),비평가 리뷰 수,관객 평점 수,RT 링크
Parasite,99%,✅,90%,✅,"Comedy, Mystery & Thriller, Drama",R,,,"Streaming Oct 11, 2019",Bong Joon Ho,"Song Kang-ho, Lee Sun-kyun, Jo Yeo-jeong, Choi Woo-sik, Park So-dam",,"Discover reviews, ratings, and trailers for Parasite (2019) on Rotten Tomatoes. Stay updated with critic and audience scores today!",,,https://www.rottentomatoes.com/m/parasite_2019
Godzilla Minus One,99%,✅,98%,✅,"Sci-Fi, Action, Adventure",PG-13,,,"Streaming Jun 1, 2024",Takashi Yamazaki,"Ryûnosuke Kamiki, Minami Hamabe, Munetaka Aoki, Hidetaka Yoshioka, Yuki Yamada",,"Discover reviews, ratings, and trailers for Godzilla Minus One on Rotten Tomatoes. Stay updated with critic and audience scores today!",,,https://www.rottentomatoes.com/m/godzilla_minus_one
Redux Redux,98%,✅,,,"Sci-Fi, Mystery & Thriller",R,,,,"Kevin McManus, Matthew McManus","Michaela McManus, Stella Marcus, Jeremy Holm, Jim Cummings",,"Discover reviews, ratings, and trailers for Redux Redux on Rotten Tomatoes. Stay updated with critic and audience scores today!",,,https://www.rottentomatoes.com/m/redux_redux
Sentimental Value,97%,✅,94%,✅,Drama,R,,,"Streaming Dec 23, 2025",Joachim Trier,"Renate Reinsve, Stellan Skarsgård, Elle Fanning, Inga Ibsdotter Lilleaas, Lena Endre",,"Discover reviews, ratings, and trailers for Sentimental Value on Rotten Tomatoes. Stay updated with critic and audience scores today!",,,https://www.rottentomatoes.com/m/sentimental_value
Sinners,97%,✅,96%,✅,"Horror, Mystery & Thriller, Drama",R,,,"Streaming Jun 3, 2025",Ryan Coogler,"Michael B. Jordan, Hailee Steinfeld, Miles Caton, Jack O'Connell, Wunmi Mosaku",,"Discover reviews, ratings, and trailers for Sinners (2025) on Rotten Tomatoes. Stay updated with critic and audience scores today!",,,https://www.rottentomatoes.com/m/sinners_2025
No Other Choice,97%,✅,93%,✅,"Comedy, Mystery & Thriller, Crime, Drama",R,,,"Streaming Feb 17, 2026",Park Chan-wook,"Lee Byung-hun, Son Ye-jin, Park Hee-soon, Lee Sung-min, Yeom Hye-ran",,"Discover reviews, ratings, and trailers for No Other Choice on Rotten Tomatoes. Stay updated with critic and audience scores today!",,,https://www.rottentomatoes.com/m/no_other_choice
One Battle After Another,94%,✅,85%,✅,"Mystery & Thriller, Comedy",R,,,"Streaming Nov 14, 2025",Paul Thomas Anderson,"Leonardo DiCaprio, Sean Penn, Chase Infiniti, Benicio del Toro, Teyana Taylor",,"Discover reviews, ratings, and trailers for One Battle After Another on Rotten Tomatoes. Stay updated with critic and audience scores today!",,,https://www.rottentomatoes.com/m/one_battle_after_another
Companion,93%,✅,88%,✅,"Mystery & Thriller, Sci-Fi, Horror, Comedy",R,,,"Streaming Feb 18, 2025",Drew Hancock,"Sophie Thatcher, Jack Quaid, Lukas Gage, Megan Suri, Harvey Guillén",,"Discover reviews, ratings, and trailers for Companion (2025) on Rotten Tomatoes. Stay updated with critic and audience scores today!",,,https://www.rottentomatoes.com/m/companion_2025
Weapons,93%,✅,85%,✅,"Horror, Mystery & Thriller",R,,,"Streaming Sep 9, 2025",Zach Cregger,"Josh Brolin, Julia Garner, Alden Ehrenreich, Austin Abrams, Cary Christopher",,"Discover reviews, ratings, and trailers for Weapons on Rotten Tomatoes. Stay updated with critic and audience scores today!",,,https://www.rottentomatoes.com/m/weapons
Anora,93%,✅,84%,✅,"Comedy, Drama, Romance",R,,,"Streaming Dec 17, 2024",Sean Baker,"Mikey Madison, Mark Eydelshteyn, Yura Borisov, Karren Karagulian, Vache Tovmasyan",,"Discover reviews, ratings, and trailers for Anora on Rotten Tomatoes. Stay updated with critic and audience scores today!",,,https://www.rottentomatoes.com/m/anora
Warfare,92%,✅,93%,✅,"Action, War, Mystery & Thriller, Drama",R,,,"Streaming May 6, 2025","Ray Mendoza, Alex Garland","D'Pharaoh Woon-A-Tai, Will Poulter, Cosmo Jarvis, Kit Connor",,"Discover reviews, ratings, and trailers for Warfare on Rotten Tomatoes. Stay updated with critic and audience scores today!",,,https://www.rottentomatoes.com/m/warfare
